Temperature (K)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16	0.10000	0.99984	1.0002	3.3200e-05	0.0018350	0.00012137	75.970	76.014	1402.4	-0.24141	1791.1	0.55567	liquid
274.16	0.10000	0.99990	1.0001	0.076017	0.077819	0.27778	75.930	75.954	1407.4	-0.24044	1730.4	0.55821	liquid
275.16	0.10000	0.99994	1.0001	0.15194	0.15374	0.55421	75.888	75.898	1412.3	-0.23949	1673.0	0.56069	liquid
276.16	0.10000	0.99997	1.0000	0.22782	0.22962	0.82945	75.844	75.847	1417.0	-0.23856	1618.5	0.56311	liquid
277.16	0.10000	0.99997	1.0000	0.30364	0.30544	1.1035	75.799	75.799	1421.7	-0.23764	1566.8	0.56549	liquid
278.16	0.10000	0.99997	1.0000	0.37941	0.38122	1.3764	75.752	75.755	1426.2	-0.23675	1517.7	0.56782	liquid
279.16	0.10000	0.99994	1.0001	0.45515	0.45695	1.6482	75.703	75.713	1430.6	-0.23587	1471.0	0.57010	liquid
280.16	0.10000	0.99990	1.0001	0.53084	0.53264	1.9189	75.653	75.675	1435.0	-0.23500	1426.6	0.57233	liquid
281.16	0.10000	0.99985	1.0002	0.60650	0.60830	2.1884	75.601	75.640	1439.2	-0.23415	1384.3	0.57453	liquid
282.16	0.10000	0.99978	1.0002	0.68212	0.68392	2.4569	75.548	75.607	1443.3	-0.23332	1344.0	0.57668	liquid
283.16	0.10000	0.99970	1.0003	0.75771	0.75952	2.7244	75.494	75.577	1447.3	-0.23250	1305.5	0.57880	liquid
284.16	0.10000	0.99961	1.0004	0.83328	0.83508	2.9907	75.438	75.549	1451.2	-0.23169	1268.8	0.58087	liquid
285.16	0.10000	0.99950	1.0005	0.90881	0.91061	3.2561	75.381	75.523	1455.1	-0.23089	1233.7	0.58291	liquid
286.16	0.10000	0.99938	1.0006	0.98432	0.98612	3.5204	75.323	75.499	1458.8	-0.23011	1200.1	0.58492	liquid
287.16	0.10000	0.99925	1.0008	1.0598	1.0616	3.7838	75.263	75.477	1462.4	-0.22933	1168.0	0.58688	liquid
288.16	0.10000	0.99910	1.0009	1.1353	1.1371	4.0461	75.203	75.456	1466.0	-0.22857	1137.3	0.58882	liquid
289.16	0.10000	0.99894	1.0011	1.2107	1.2125	4.3075	75.141	75.437	1469.4	-0.22782	1107.8	0.59072	liquid
290.16	0.10000	0.99878	1.0012	1.2861	1.2880	4.5679	75.078	75.420	1472.8	-0.22708	1079.5	0.59259	liquid
291.16	0.10000	0.99860	1.0014	1.3616	1.3634	4.8273	75.014	75.404	1476.1	-0.22635	1052.4	0.59444	liquid
292.16	0.10000	0.99841	1.0016	1.4370	1.4388	5.0859	74.949	75.390	1479.3	-0.22562	1026.4	0.59625	liquid
293.16	0.10000	0.99820	1.0018	1.5123	1.5141	5.3434	74.883	75.377	1482.4	-0.22491	1001.4	0.59803	liquid
294.16	0.10000	0.99799	1.0020	1.5877	1.5895	5.6001	74.816	75.365	1485.4	-0.22420	977.30	0.59978	liquid
295.16	0.10000	0.99777	1.0022	1.6631	1.6649	5.8558	74.748	75.354	1488.4	-0.22351	954.17	0.60151	liquid
296.16	0.10000	0.99754	1.0025	1.7384	1.7402	6.1107	74.679	75.344	1491.2	-0.22282	931.91	0.60321	liquid
297.16	0.10000	0.99730	1.0027	1.8138	1.8156	6.3647	74.609	75.335	1494.0	-0.22214	910.47	0.60488	liquid
